tc_EPID,tc_EquipmentUnitID,tc_EquipmentGroupID,tc_C1MassFlow,tc_C1MassFlowUncertainty,tc_ExpStartDatetime,tc_ExpEndDatetime,tc_ExpDurationHrs,tc_ExpEPCount,tc_EquipmentType
4T-12,4T-1,4T,5336.277243,167.87681,2023-04-28 15:30:47+00:00,2023-04-28 18:00:47+00:00,2.5,2,Tank
4S-33,4S-3,4S,3067.818257,78.51941992,2023-04-28 15:30:47+00:00,2023-04-28 18:00:47+00:00,2.5,2,Seperator
5W-33,5W-3,5W,6693.15599,194.8895595,2023-04-28 06:53:15+00:00,2023-04-28 07:53:16+00:00,1.000277778,2,Wellhead
4W-11,4W-1,4W,3514.508457,79.95537416,2023-04-28 06:53:15+00:00,2023-04-28 07:53:16+00:00,1.000277778,2,Wellhead
5S-12,5S-1,5S,5268.878015,219.5174082,2023-04-28 00:08:12+00:00,2023-04-28 01:53:12+00:00,1.75,2,Seperator
4S-23,4S-2,4S,3567.276416,78.25573184,2023-04-28 00:08:12+00:00,2023-04-28 01:53:12+00:00,1.75,2,Seperator
5S-27,5S-2,5S,5363.231897,435.5982263,2023-04-27 16:35:25+00:00,2023-04-27 19:16:25+00:00,2.683333333,3,Seperator
4T-32,4T-3,4T,4170.983415,136.7128581,2023-04-27 16:35:25+00:00,2023-04-27 19:16:25+00:00,2.683333333,3,Tank
4T-12,4T-1,4T,5411.329245,149.5973673,2023-04-27 09:35:03+00:00,2023-04-27 10:05:02+00:00,0.499722222,2,Tank
4S-33,4S-3,4S,3168.597602,77.83650159,2023-04-27 09:35:03+00:00,2023-04-27 10:05:02+00:00,0.499722222,2,Seperator
5W-33,5W-3,5W,6648.053684,249.5201688,2023-04-27 04:34:59+00:00,2023-04-27 05:34:59+00:00,1,2,Wellhead
4W-11,4W-1,4W,3488.744651,145.1536714,2023-04-27 04:34:59+00:00,2023-04-27 05:34:59+00:00,1,2,Wellhead
5S-12,5S-1,5S,5120.079756,189.7411942,2023-04-26 23:04:56+00:00,2023-04-27 00:34:56+00:00,1.5,2,Seperator
4S-23,4S-2,4S,3529.01962,122.5719743,2023-04-26 23:04:56+00:00,2023-04-27 00:34:56+00:00,1.5,2,Seperator
5W-11,5W-1,5W,4915.928899,199.107148,2023-04-26 18:38:52+00:00,2023-04-26 20:04:52+00:00,1.433333333,3,Wellhead
4T-11,4T-1,4T,3544.837121,399.0204361,2023-04-26 18:38:52+00:00,2023-04-26 20:04:52+00:00,1.433333333,3,Tank
4T-22,4T-2,4T,6964.632196,170.9720893,2023-04-26 15:38:50+00:00,2023-04-26 16:38:51+00:00,1.000277778,2,Tank
4W-51,4W-5,4W,3478.019042,114.4550077,2023-04-26 15:38:50+00:00,2023-04-26 16:38:51+00:00,1.000277778,2,Wellhead
5W-33,5W-3,5W,6705.866052,169.878408,2023-04-26 09:11:24+00:00,2023-04-26 10:41:24+00:00,1.5,2,Wellhead
4W-11,4W-1,4W,3525.298978,94.37646431,2023-04-26 09:11:24+00:00,2023-04-26 10:41:24+00:00,1.5,2,Wellhead
5S-12,5S-1,5S,5316.837315,192.7144288,2023-04-26 02:41:21+00:00,2023-04-26 04:11:21+00:00,1.5,2,Seperator
4S-23,4S-2,4S,3581.608646,78.35457651,2023-04-26 02:41:21+00:00,2023-04-26 04:11:21+00:00,1.5,2,Seperator
4T-22,4T-2,4T,6983.330263,181.7879344,2023-04-25 20:07:01+00:00,2023-04-25 21:37:02+00:00,1.500277778,2,Tank
4W-51,4W-5,4W,3507.724761,75.78858457,2023-04-25 20:07:01+00:00,2023-04-25 21:37:02+00:00,1.500277778,2,Wellhead
